university,policy_type,policy_title,policy_explanation,effective_year
University of Paris,Scholarship Policy,Merit-Based Financial Aid Policy,"Provides regulations governing scholarships, financial aid distribution, and eligibility criteria for funding support.",2024
University of Edinburgh,Scholarship Policy,Merit-Based Financial Aid Policy,"Provides regulations governing scholarships, financial aid distribution, and eligibility criteria for funding support.",2024
Kyoto University,Scholarship Policy,International Scholarship Program Policy,"Provides regulations governing scholarships, financial aid distribution, and eligibility criteria for funding support.",2018
Columbia University,Scholarship Policy,Graduate Scholarship Allocation Policy,"Provides regulations governing scholarships, financial aid distribution, and eligibility criteria for funding support.",2019
Indian Institute of Science,Examination Policy,Graduate Assessment and Evaluation Regulations,"Specifies grading systems, examination procedures, and evaluation standards used to assess student performance.",2018
University of Texas Austin,Graduate Program Policy,Postgraduate Program Governance Framework,"Establishes guidelines for curriculum structure, credit requirements, and dissertation completion for postgraduate programs.",2019
University of Manchester,Academic Integrity Policy,Plagiarism Prevention Policy,Outlines expectations for academic honesty and provides guidelines to prevent plagiarism and academic misconduct.,2021
Ludwig Maximilian University of Munich,Student Welfare Policy,Campus Mental Health and Counselling Policy,"Ensures access to counselling, wellbeing resources, and support services for students during their academic journey.",2024
Manipal Academy of Higher Education,Scholarship Policy,Graduate Scholarship Allocation Policy,"Provides regulations governing scholarships, financial aid distribution, and eligibility criteria for funding support.",2022
Princeton University,Academic Integrity Policy,Plagiarism Prevention Policy,Outlines expectations for academic honesty and provides guidelines to prevent plagiarism and academic misconduct.,2023
Indian Institute of Science,International Student Policy,Global Student Integration Framework,"Supports international students through visa guidance, integration programs, and academic assistance.",2020
King's College London,Academic Integrity Policy,Academic Honesty and Integrity Code,Outlines expectations for academic honesty and provides guidelines to prevent plagiarism and academic misconduct.,2018
Banaras Hindu University,Admission Policy,Graduate Selection and Eligibility Policy,"Defines eligibility criteria, application procedures, and merit-based selection processes for postgraduate admissions.",2024
